EmployeeID,Role,Salutation,EmployeeName,FatherName,Gender,DateOfBirth,CompanyEmailID,PermanentAddress,CorrespondenceAddress,Country,State,CountryCode,BaseLocation,BloodGroup,ManagerName,Designation,STDCode,MobileNo,Logins_ID,createdAt,createdBy,modifiedAt,modifiedBy
16173122-5264-41d6-bc7a-7f0525b65a6d,Role-16173122,n-16173122,EmployeeName-16173122,FatherName-16173122,r-16173122,2018-10-03,CompanyEmailID-16173122,PermanentAddress-16173122,CorrespondenceAddress-16173122,Country-16173122,State-16173122,73122,BaseLocation-16173122,73122,ManagerName-16173122,Designation-16173122,e-16173122,bileNo-16173122,67247875-377f-40e8-9c7d-183b983d096c,2010-07-18T00:00:00.000Z,createdBy.9mn9e@example.net,2003-09-10T00:00:00.000Z,modifiedBy.9mn9e@example.org
10747042-b3b3-4d68-bf86-c30ffb6a87c4,Role-10747042,n-10747042,EmployeeName-10747042,FatherName-10747042,r-10747042,2003-12-18,CompanyEmailID-10747042,PermanentAddress-10747042,CorrespondenceAddress-10747042,Country-10747042,State-10747042,47042,BaseLocation-10747042,47042,ManagerName-10747042,Designation-10747042,e-10747042,bileNo-10747042,67247875-377f-40e8-9c7d-183b983d096c,2021-03-26T00:00:00.000Z,createdBy.6ecgy@example.net,2012-08-22T00:00:00.000Z,modifiedBy.6ecgy@example.org
10747043-e9ec-4afd-b437-ab6cafcd1418,Role-10747043,n-10747043,EmployeeName-10747043,FatherName-10747043,r-10747043,2005-06-18,CompanyEmailID-10747043,PermanentAddress-10747043,CorrespondenceAddress-10747043,Country-10747043,State-10747043,47043,BaseLocation-10747043,47043,ManagerName-10747043,Designation-10747043,e-10747043,bileNo-10747043,67247875-377f-40e8-9c7d-183b983d096c,2022-08-06T00:00:00.000Z,createdBy.6ecgz@example.net,2006-03-07T00:00:00.000Z,modifiedBy.6ecgz@example.org
10747044-0bbd-42d4-9ed1-180eb02c9ad4,Role-10747044,n-10747044,EmployeeName-10747044,FatherName-10747044,r-10747044,2023-02-19,CompanyEmailID-10747044,PermanentAddress-10747044,CorrespondenceAddress-10747044,Country-10747044,State-10747044,47044,BaseLocation-10747044,47044,ManagerName-10747044,Designation-10747044,e-10747044,bileNo-10747044,67247875-377f-40e8-9c7d-183b983d096c,2021-08-03T00:00:00.000Z,createdBy.6ech0@example.net,2015-09-14T00:00:00.000Z,modifiedBy.6ech0@example.com
10747045-8528-468c-9224-4df67b2e14af,Role-10747045,n-10747045,EmployeeName-10747045,FatherName-10747045,r-10747045,2015-04-07,CompanyEmailID-10747045,PermanentAddress-10747045,CorrespondenceAddress-10747045,Country-10747045,State-10747045,47045,BaseLocation-10747045,47045,ManagerName-10747045,Designation-10747045,e-10747045,bileNo-10747045,67247875-377f-40e8-9c7d-183b983d096c,2003-10-13T00:00:00.000Z,createdBy.6ech1@example.com,2022-09-04T00:00:00.000Z,modifiedBy.6ech1@example.com
10747046-ce07-4ecc-b297-9b66aecb94fb,Role-10747046,n-10747046,EmployeeName-10747046,FatherName-10747046,r-10747046,2007-03-23,CompanyEmailID-10747046,PermanentAddress-10747046,CorrespondenceAddress-10747046,Country-10747046,State-10747046,47046,BaseLocation-10747046,47046,ManagerName-10747046,Designation-10747046,e-10747046,bileNo-10747046,67247875-377f-40e8-9c7d-183b983d096c,2015-11-02T00:00:00.000Z,createdBy.6ech2@example.net,2010-01-05T00:00:00.000Z,modifiedBy.6ech2@example.com
10747047-5703-43ae-a62c-d5bb5c90956a,Role-10747047,n-10747047,EmployeeName-10747047,FatherName-10747047,r-10747047,2016-11-05,CompanyEmailID-10747047,PermanentAddress-10747047,CorrespondenceAddress-10747047,Country-10747047,State-10747047,47047,BaseLocation-10747047,47047,ManagerName-10747047,Designation-10747047,e-10747047,bileNo-10747047,67247875-377f-40e8-9c7d-183b983d096c,2006-12-08T00:00:00.000Z,createdBy.6ech3@example.org,2015-11-16T00:00:00.000Z,modifiedBy.6ech3@example.com
10747048-c9ea-4e5a-87b8-d1d2ff672c58,Role-10747048,n-10747048,EmployeeName-10747048,FatherName-10747048,r-10747048,2017-02-07,CompanyEmailID-10747048,PermanentAddress-10747048,CorrespondenceAddress-10747048,Country-10747048,State-10747048,47048,BaseLocation-10747048,47048,ManagerName-10747048,Designation-10747048,e-10747048,bileNo-10747048,67247875-377f-40e8-9c7d-183b983d096c,2003-04-18T00:00:00.000Z,createdBy.6ech4@example.com,2022-01-27T00:00:00.000Z,modifiedBy.6ech4@example.com
10747049-ffc3-41b9-8345-ceb359b746ee,Role-10747049,n-10747049,EmployeeName-10747049,FatherName-10747049,r-10747049,2013-12-08,CompanyEmailID-10747049,PermanentAddress-10747049,CorrespondenceAddress-10747049,Country-10747049,State-10747049,47049,BaseLocation-10747049,47049,ManagerName-10747049,Designation-10747049,e-10747049,bileNo-10747049,67247875-377f-40e8-9c7d-183b983d096c,2008-05-18T00:00:00.000Z,createdBy.6ech5@example.org,2001-05-25T00:00:00.000Z,modifiedBy.6ech5@example.com
10747050-5239-4df6-b0a6-81ac25c3b8df,Role-10747050,n-10747050,EmployeeName-10747050,FatherName-10747050,r-10747050,2005-07-16,CompanyEmailID-10747050,PermanentAddress-10747050,CorrespondenceAddress-10747050,Country-10747050,State-10747050,47050,BaseLocation-10747050,47050,ManagerName-10747050,Designation-10747050,e-10747050,bileNo-10747050,67247875-377f-40e8-9c7d-183b983d096c,2000-10-19T00:00:00.000Z,createdBy.6ech6@example.net,2002-08-25T00:00:00.000Z,modifiedBy.6ech6@example.org
