ID,EmployeeName,Role,EmailID,OTP,Password,BranchCode,CompanyCode,TimeDate,MobileNo,Employee_EmployeeID,createdAt,createdBy,modifiedAt,modifiedBy
67247875-377f-40e8-9c7d-183b983d096c,EmployeeName-6724787,le-6724787,EmailID-6724787,TP-6724787,Password-6724787,de-6724787,de-6724787,2018-10-10T00:00:00.000Z,obileNo-6724787,16173122-5264-41d6-bc7a-7f0525b65a6d,2012-12-10T00:00:00.000Z,createdBy.404vn@example.com,2002-10-24T00:00:00.000Z,modifiedBy.404vn@example.com
22076473-274e-4ac6-b004-246a04e15d98,EmployeeName-22076473,e-22076473,EmailID-22076473,P-22076473,Password-22076473,e-22076473,e-22076473,2009-03-10T00:00:00.000Z,bileNo-22076473,10747050-5239-4df6-b0a6-81ac25c3b8df,2021-05-26T00:00:00.000Z,createdBy.d56bd@example.net,2010-05-02T00:00:00.000Z,modifiedBy.d56bd@example.com
22076474-d5b2-438d-9d10-a4b8a51ae5f6,EmployeeName-22076474,e-22076474,EmailID-22076474,P-22076474,Password-22076474,e-22076474,e-22076474,2023-06-02T00:00:00.000Z,bileNo-22076474,10747050-5239-4df6-b0a6-81ac25c3b8df,2012-04-05T00:00:00.000Z,createdBy.d56be@example.com,2017-03-10T00:00:00.000Z,modifiedBy.d56be@example.net
22076475-a14a-4155-8dd5-5f88b64ab1a0,EmployeeName-22076475,e-22076475,EmailID-22076475,P-22076475,Password-22076475,e-22076475,e-22076475,2018-11-04T00:00:00.000Z,bileNo-22076475,10747050-5239-4df6-b0a6-81ac25c3b8df,2019-01-25T00:00:00.000Z,createdBy.d56bf@example.org,2006-08-18T00:00:00.000Z,modifiedBy.d56bf@example.org
22076476-d5d0-40fb-ae97-3400dffb9dbd,EmployeeName-22076476,e-22076476,EmailID-22076476,P-22076476,Password-22076476,e-22076476,e-22076476,2010-08-23T00:00:00.000Z,bileNo-22076476,10747050-5239-4df6-b0a6-81ac25c3b8df,2008-11-02T00:00:00.000Z,createdBy.d56bg@example.com,2018-05-27T00:00:00.000Z,modifiedBy.d56bg@example.net
22076477-aa40-4286-a1b4-6b97c9801faf,EmployeeName-22076477,e-22076477,EmailID-22076477,P-22076477,Password-22076477,e-22076477,e-22076477,2017-10-19T00:00:00.000Z,bileNo-22076477,10747050-5239-4df6-b0a6-81ac25c3b8df,2015-05-22T00:00:00.000Z,createdBy.d56bh@example.com,2007-07-14T00:00:00.000Z,modifiedBy.d56bh@example.com
22076478-c8cb-4162-b423-c49161fe72a6,EmployeeName-22076478,e-22076478,EmailID-22076478,P-22076478,Password-22076478,e-22076478,e-22076478,2022-11-02T00:00:00.000Z,bileNo-22076478,10747050-5239-4df6-b0a6-81ac25c3b8df,2009-01-01T00:00:00.000Z,createdBy.d56bi@example.com,2023-10-10T00:00:00.000Z,modifiedBy.d56bi@example.org
22076479-f60c-4cda-a141-f553af3bd1be,EmployeeName-22076479,e-22076479,EmailID-22076479,P-22076479,Password-22076479,e-22076479,e-22076479,2012-02-29T00:00:00.000Z,bileNo-22076479,10747050-5239-4df6-b0a6-81ac25c3b8df,2006-12-24T00:00:00.000Z,createdBy.d56bj@example.com,2009-04-11T00:00:00.000Z,modifiedBy.d56bj@example.org
22076480-8073-4a60-9e60-f8cc58fb8c63,EmployeeName-22076480,e-22076480,EmailID-22076480,P-22076480,Password-22076480,e-22076480,e-22076480,2003-05-02T00:00:00.000Z,bileNo-22076480,10747050-5239-4df6-b0a6-81ac25c3b8df,2021-02-22T00:00:00.000Z,createdBy.d56bk@example.com,2010-01-26T00:00:00.000Z,modifiedBy.d56bk@example.net
22076481-c9b5-4855-9c10-befd41498bc0,EmployeeName-22076481,e-22076481,EmailID-22076481,P-22076481,Password-22076481,e-22076481,e-22076481,2020-10-25T00:00:00.000Z,bileNo-22076481,10747050-5239-4df6-b0a6-81ac25c3b8df,2001-02-26T00:00:00.000Z,createdBy.d56bl@example.org,2001-03-06T00:00:00.000Z,modifiedBy.d56bl@example.org
